Altium Designer Pick and Place Locations
D:\Users\Duncan\Altium Workspace\PLWD_Schematics\Project Outputs for PLWD_Schematics\Pick Place\Pick Place for PLWD_PCB_6Layer.txt

========================================================================================================================
File Design Information:

Date:       20-10-23
Time:       16:44
Revision:   0ccba7acecd384dd4d1277bbeb68504d07528a07
Variant:    No variations
Units used: mil

Designator Comment                             Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                        
R252       "240k, 0402"                        TopLayer RESC1005X40X25NL05T05           3285.000      5190.000      0        "Chip Resistor, 240 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                                
U250       TPS76750QPWPRQ1                     TopLayer PWP0020L_N                      3005.000      5175.000      0        "Single Output Automotive LDO, 1 A, Fixed 5 V Output, 2.7 to 10 V Input, 20-pin HTSSOP (PWP), -40 to 125 degC, Green (RoHS & no Sb/Br)"                            
J309       22-28-4050                          TopLayer FP-22-28-4050-MFG               7240.000      3045.000      270      "22-28-4050 KK® 254 Breakaway Header, Vertical, 5 Circuits, Tin (Sn) Plating, Mating Pin Length 6.09mm"                                                            
J306       22-28-4050                          TopLayer FP-22-28-4050-MFG               5205.000      6505.000      270      "22-28-4050 KK® 254 Breakaway Header, Vertical, 5 Circuits, Tin (Sn) Plating, Mating Pin Length 6.09mm"                                                            
J304       22-28-4050                          TopLayer FP-22-28-4050-MFG               3080.000      3540.000      0        "22-28-4050 KK® 254 Breakaway Header, Vertical, 5 Circuits, Tin (Sn) Plating, Mating Pin Length 6.09mm"                                                            
J301       22-28-4050                          TopLayer FP-22-28-4050-MFG               4415.000      2205.000      90       "22-28-4050 KK® 254 Breakaway Header, Vertical, 5 Circuits, Tin (Sn) Plating, Mating Pin Length 6.09mm"                                                            
J170       693043020611                        TopLayer 693043020611                    9599.606      2010.039      0        ""                                                                                                                                                                 
D250       150120SS75000                       TopLayer WL-SMCW_1206_150120xx75000      3195.000      6575.000      270      ""                                                                                                                                                                 
D140       150120SS75000                       TopLayer WL-SMCW_1206_150120xx75000      6660.000      6235.000      270      ""                                                                                                                                                                 
C160       "47pF, 0603"                        TopLayer FP-C0603C-CF-MFG                9335.000      2905.000      90       "CAP CER 47PF 100V 5% NP0"                                                                                                                                         
